,0,LAT,LON
0,"Banashankari,Banglore,India",12.9254533,77.546757
1,"Basavanagudi,Banglore,India",12.9405997,77.5737633
2,"Mysore Road,Banglore,India",12.849501,77.42381170000002
3,"Jayanagar,Banglore,India",12.9308404,77.58015979999999
4,"Kumaraswamy Layout,Banglore,India",12.9044382,77.56492779999999
5,"Rajarajeshwari Nagar,Banglore,India",12.9148603,77.5206395
6,"Vijay Nagar,Banglore,India",12.9569451,77.51392849999999
7,"Uttarahalli,Banglore,India",12.9069823,77.552059
8,"JP Nagar,Banglore,India",12.9063433,77.5856825
9,"South Bangalore,Banglore,India",12.9715987,77.5945627
10,"City Market,Banglore,India",12.9647474,77.5768076
11,"Bannerghatta Road,Banglore,India",12.8395271,77.58886129999999
12,"BTM,Banglore,India",12.9165757,77.6101163
13,"Kanakapura Road,Banglore,India",12.8462633,77.5203634
14,"Bommanahalli,Banglore,India",12.9029804,77.6241936
15,"Electronic City,Banglore,India",12.8439867,77.6739127
16,"Sarjapur Road,Banglore,India",12.9040462,77.70290779999999
17,"Wilson Garden,Banglore,India",12.9481933,77.59718649999999
18,"Shanti Nagar,Banglore,India",12.9577549,77.5992505
19,"Koramangala 5th Block,Banglore,India",12.9352156,77.6199608
20,"Richmond Road,Banglore,India",12.9665998,77.6083946
21,"HSR,Banglore,India",12.9121181,77.6445548
22,"Koramangala 7th Block,Banglore,India",12.936285,77.6127996
23,"Bellandur,Banglore,India",12.9304278,77.678404
24,"Marathahalli,Banglore,India",12.956924,77.701127
25,"Whitefield,Banglore,India",12.9698196,77.7499721
26,"East Bangalore,Banglore,India",12.9996808,77.616168
27,"Old Airport Road,Banglore,India",12.954806,77.68432399999999
28,"Indiranagar,Banglore,India",12.9783692,77.6408356
29,"Koramangala 1st Block,Banglore,India",12.9265132,77.63615519999999
30,"Frazer Town,Banglore,India",12.9970483,77.61440759999999
31,"MG Road,Banglore,India",12.9747141,77.6093522
32,"Brigade Road,Banglore,India",12.9709583,77.6068804
33,"Lavelle Road,Banglore,India",12.9711522,77.5978612
34,"Church Street,Banglore,India",12.9749903,77.60478359999999
35,"Ulsoor,Banglore,India",12.9817001,77.62841519999999
36,"Residency Road,Banglore,India",12.9705894,77.60411789999999
37,"Shivajinagar,Banglore,India",12.9856503,77.60569269999999
38,"Infantry Road,Banglore,India",12.9817379,77.5998225
39,"St. Marks Road,Banglore,India",12.9722876,77.6011618
40,"Cunningham Road,Banglore,India",12.9876915,77.5944579
41,"Race Course Road,Banglore,India",12.9838758,77.5815784
42,"Commercial Street,Banglore,India",12.9821895,77.60834849999999
43,"Vasanth Nagar,Banglore,India",12.9920036,77.5943336
44,"Domlur,Banglore,India",12.9609857,77.6387316
45,"Koramangala 8th Block,Banglore,India",12.9414686,77.6178125
46,"Ejipura,Banglore,India",12.9385333,77.6308174
47,"Jeevan Bhima Nagar,Banglore,India",12.964163,77.658076
48,"Old Madras Road,Banglore,India",12.9869094,77.64796659999999
49,"Seshadripuram,Banglore,India",12.9889055,77.574044
50,"Kammanahalli,Banglore,India",13.0159044,77.63786189999999
51,"Koramangala 6th Block,Banglore,India",12.9381776,77.6228252
52,"Majestic,Banglore,India",12.9766637,77.5712556
53,"Langford Town,Banglore,India",12.9569911,77.6027732
54,"Central Bangalore,Banglore,India",12.9485134,77.67651839999999
55,"Brookefield,Banglore,India",12.9654796,77.7184638
56,"ITPL Main Road, Whitefield,Banglore,India",12.9870247,77.7420502
57,"Varthur Main Road, Whitefield,Banglore,India",12.9559054,77.7247434
58,"Koramangala 2nd Block,Banglore,India",12.9246574,77.62067689999999
59,"Koramangala 3rd Block,Banglore,India",12.9286421,77.6291277
